Local time,Open,High,Low,Close,Volume
28.05.2023 22:30:00.000 GMT+0530,0.90460,0.90460,0.90460,0.90460,0
29.05.2023 02:30:00.000 GMT+0530,0.90400,0.90618,0.90399,0.90584,9200.8697
29.05.2023 06:30:00.000 GMT+0530,0.90584,0.90597,0.90483,0.90485,3531.9
29.05.2023 10:30:00.000 GMT+0530,0.90485,0.90521,0.90312,0.90328,8990.2999
29.05.2023 14:30:00.000 GMT+0530,0.90329,0.90433,0.90270,0.90341,7834.7798999999995
29.05.2023 18:30:00.000 GMT+0530,0.90341,0.90426,0.90327,0.90382,5631.429900000001
29.05.2023 22:30:00.000 GMT+0530,0.90377,0.90449,0.90368,0.90417,3656.0699999999997
30.05.2023 02:30:00.000 GMT+0530,0.90377,0.90472,0.90347,0.90384,5174.6499
30.05.2023 06:30:00.000 GMT+0530,0.90383,0.90448,0.90308,0.90403,6184.88
30.05.2023 10:30:00.000 GMT+0530,0.90403,0.90839,0.90403,0.90472,21140.7403
30.05.2023 14:30:00.000 GMT+0530,0.90477,0.90559,0.90138,0.90307,23211.1401
30.05.2023 18:30:00.000 GMT+0530,0.90307,0.90635,0.90238,0.90634,18084.980199999998
30.05.2023 22:30:00.000 GMT+0530,0.90633,0.90690,0.90556,0.90565,6287.8599
31.05.2023 02:30:00.000 GMT+0530,0.90565,0.90668,0.90413,0.90569,5595.6601
31.05.2023 06:30:00.000 GMT+0530,0.90571,0.90852,0.90551,0.90823,6220.309899999999
31.05.2023 10:30:00.000 GMT+0530,0.90821,0.91187,0.90764,0.91123,17301.8801
31.05.2023 14:30:00.000 GMT+0530,0.91122,0.91151,0.90982,0.91066,13930.04
31.05.2023 18:30:00.000 GMT+0530,0.91067,0.91471,0.90957,0.91429,28511.260500000004
31.05.2023 22:30:00.000 GMT+0530,0.91427,0.91443,0.91035,0.91055,11629.5599
01.06.2023 02:30:00.000 GMT+0530,0.91054,0.91068,0.90981,0.91049,7049.259999999998
01.06.2023 06:30:00.000 GMT+0530,0.91049,0.91117,0.91030,0.91092,5781.37
01.06.2023 10:30:00.000 GMT+0530,0.91094,0.91137,0.90996,0.91005,12934.960000000006
01.06.2023 14:30:00.000 GMT+0530,0.91004,0.91110,0.90747,0.90863,19266.050000000003
01.06.2023 18:30:00.000 GMT+0530,0.90862,0.91011,0.90662,0.90701,25804.430000000008
01.06.2023 22:30:00.000 GMT+0530,0.90700,0.90730,0.90529,0.90529,8417.359999999997
02.06.2023 02:30:00.000 GMT+0530,0.90517,0.90592,0.90482,0.90518,7052.089999999997
02.06.2023 06:30:00.000 GMT+0530,0.90517,0.90547,0.90418,0.90465,6489.050000000001
02.06.2023 10:30:00.000 GMT+0530,0.90464,0.90518,0.90344,0.90436,12750.030000000006
02.06.2023 14:30:00.000 GMT+0530,0.90437,0.90855,0.90423,0.90733,20892.199999999997
02.06.2023 18:30:00.000 GMT+0530,0.90730,0.90896,0.90467,0.90853,26372.15
02.06.2023 22:30:00.000 GMT+0530,0.90853,0.90913,0.90799,0.90866,7787.399999999998
03.06.2023 02:30:00.000 GMT+0530,0.90866,0.90866,0.90866,0.90866,0
03.06.2023 06:30:00.000 GMT+0530,0.90866,0.90866,0.90866,0.90866,0
03.06.2023 10:30:00.000 GMT+0530,0.90866,0.90866,0.90866,0.90866,0
03.06.2023 14:30:00.000 GMT+0530,0.90866,0.90866,0.90866,0.90866,0
03.06.2023 18:30:00.000 GMT+0530,0.90866,0.90866,0.90866,0.90866,0
03.06.2023 22:30:00.000 GMT+0530,0.90866,0.90866,0.90866,0.90866,0